Date;ATT;Microsoft;Nordstrom;SP_500
01/04/2010;20.12;35.18;37.34;1186.69
03/05/2010;18.76;34.61;36.05;1089.41
01/06/2010;18.67;33.89;29.23;1030.71
01/07/2010;20.37;34.66;30.88;1101.6
02/08/2010;21.23;32.76;26.44;1049.33
01/09/2010;22.46;38.24;34.01;1141.2
01/10/2010;22.73;40.56;35.21;1183.26
01/11/2010;22.14;41.93;39.31;1180.55
01/12/2010;23.41;43.47;38.92;1257.64
03/01/2011;22.25;45.72;37.82;1286.12
01/02/2011;22.94;47.6;41.57;1327.22
01/03/2011;24.75;46.96;41.43;1325.83
01/04/2011;25.52;47.18;43.9;1363.61
02/05/2011;25.88;46.87;43.45;1345.2
01/06/2011;25.75;45.23;43.55;1320.64
01/07/2011;24.32;52.62;46.54;1292.28
01/08/2011;23.67;51.86;42.18;1218.89
01/09/2011;23.71;51.38;42.6;1131.42
03/10/2011;24.74;54.54;47.27;1253.3
01/11/2011;24.46;51.5;42.45;1246.96
01/12/2011;25.52;54.57;46.6;1257.6
03/01/2012;25.19;61.51;46.29;1312.41
01/02/2012;26.2;73.09;50.52;1365.68
01/03/2012;26.75;80.79;52.5;1408.47
02/04/2012;28.58;78.69;52.63;1397.91
01/05/2012;29.68;77.85;44.87;1310.33
01/06/2012;30.97;78.69;47.07;1362.16
02/07/2012;33.35;82.3;51.28;1379.32
01/08/2012;32.22;90.03;55.03;1406.58
04/09/2012;33.15;90.28;52.51;1440.67
01/10/2012;30.77;80.56;54.02;1412.16
01/11/2012;30.36;79.57;51.73;1416.18
03/12/2012;29.99;72.35;51.17;1426.19
02/01/2013;31.35;61.92;52.82;1498.11
01/02/2013;32.36;60.36;51.86;1514.68
01/03/2013;33.06;60.53;53.11;1569.19
01/04/2013;34.16;60.55;54.42;1597.57
01/05/2013;31.9;61.9;56.85;1630.74
03/06/2013;32.28;54.58;57.93;1606.28
01/07/2013;32.57;62.29;59.19;1685.73
01/08/2013;31.24;67.51;54.15;1632.97
03/09/2013;31.23;66.06;54.61;1681.55
01/10/2013;33.88;72.42;58.76;1756.54
01/11/2013;32.95;77.5;60.74;1805.81
02/12/2013;32.9;78.19;60.34;1848.36
02/01/2014;31.6;69.76;56.09;1782.59
03/02/2014;30.28;73.78;60.03;1859.45
03/03/2014;33.26;75.25;61.3;1872.34
01/04/2014;34.3;82.73;60.15;1883.95
01/05/2014;34.08;89.24;67.13;1923.57
02/06/2014;33.97;91.71;67.01;1960.23
01/07/2014;34.64;94.34;68.29;1930.67
01/08/2014;34.02;101.66;68.63;2003.37
02/09/2014;34.29;99.92;67.76;1972.29
01/10/2014;34.35;107.11;71.96;2018.05
03/11/2014;34.89;118.46;76.01;2067.56
01/12/2014;33.12;109.95;79.03;2058.9
02/01/2015;32.92;116.7;75.85;1994.99
02/02/2015;34.56;128.46;80.43;2104.5
02/03/2015;32.97;126.37;80.02;2086.24
